user_id,date,age,age_group,social_media_hours,work_or_study_hours,entertainment_hours,total_screen_time,primary_device,internet_type
99,1/10/2024,50,46-60,1.6,4.7,3.1,9.4,Mobile,Mobile Data
100,3/16/2024,19,19-25,1.4,3.2,3.1,7.7,Mobile,Mobile Data
101,12/25/2024,42,36-45,1.3,6.3,2.3,9.9,Laptop,WiFi
102,12/23/2024,32,26-35,2.4,4.8,1.3,8.5,Laptop,Mobile Data
103,9/5/2024,41,36-45,0.5,2.2,1.3,4,Tablet,Mobile Data
104,4/1/2024,29,26-35,1.6,5.2,3.2,10,Laptop,Mobile Data
105,11/19/2024,45,36-45,0.4,6.5,1.2,8.1,Tablet,WiFi
106,1/19/2024,43,36-45,1.4,2.9,3.4,7.7,Tablet,WiFi
107,2/7/2024,64,60+,3,3.1,2.7,8.8,Laptop,WiFi
108,3/6/2024,14,13-18,2.2,1.9,0.8,4.9,Mobile,Mobile Data
109,9/19/2024,21,19-25,0.7,2.1,3.2,6,Tablet,WiFi
110,11/23/2024,22,19-25,3.3,4.2,2.9,10.4,Tablet,WiFi
111,8/13/2024,22,19-25,0.7,5.9,0.6,7.2,Laptop,WiFi
112,4/22/2024,48,46-60,1.9,6.6,2.8,11.3,Tablet,WiFi
113,1/9/2024,68,60+,0.7,4.6,0.8,6.1,Tablet,WiFi
114,7/23/2024,53,46-60,2.3,2.4,3.4,8.1,Tablet,WiFi
115,2/6/2024,24,19-25,2.3,5.6,2.2,10.1,Mobile,Mobile Data
116,12/5/2024,13,13-18,1.7,4.7,1.6,8,Mobile,Mobile Data
117,10/16/2024,32,26-35,2.3,6,2.7,11,Mobile,WiFi
118,4/23/2024,41,36-45,2.8,3.1,0.6,6.5,Mobile,Mobile Data
119,1/27/2024,24,19-25,3.3,3.3,1,7.6,Mobile,WiFi
120,10/19/2024,54,46-60,0.7,1,3.2,4.9,Laptop,WiFi
121,9/29/2024,62,60+,3.7,6.1,2.6,12.4,Laptop,WiFi
122,4/6/2024,67,60+,2.1,5.6,0.8,8.5,Mobile,WiFi
123,5/26/2024,52,46-60,0.4,2.9,0.6,3.9,Tablet,Mobile Data
124,6/13/2024,51,46-60,1.3,1.9,1.6,4.8,Laptop,WiFi
125,1/16/2024,50,46-60,1.9,6.7,0.8,9.4,Laptop,WiFi
126,11/25/2024,48,46-60,3.9,5.9,3.4,13.2,Mobile,Mobile Data
127,10/12/2024,65,60+,0.4,3.3,2.7,6.4,Tablet,Mobile Data
128,6/29/2024,31,26-35,3.6,6.1,1.3,11,Laptop,Mobile Data
129,3/11/2024,59,46-60,1.1,3.8,0.8,5.7,Tablet,Mobile Data
130,6/4/2024,44,36-45,3.4,3.7,1,8.1,Laptop,Mobile Data
131,11/20/2024,74,60+,3,5.7,0.6,9.3,Tablet,Mobile Data
132,12/17/2024,72,60+,1.3,2.7,0.7,4.7,Laptop,Mobile Data
133,9/29/2024,41,36-45,2.3,4.6,0.9,7.8,Mobile,WiFi
134,12/22/2024,74,60+,3,6.6,1.9,11.5,Laptop,Mobile Data
135,10/21/2024,20,19-25,2.9,2.1,2.2,7.2,Tablet,WiFi
136,12/2/2024,52,46-60,3.8,4.4,0.9,9.1,Tablet,WiFi
137,6/23/2024,51,46-60,1.8,3.8,0.8,6.4,Mobile,Mobile Data
138,6/15/2024,54,46-60,1.3,1.7,1.2,4.2,Laptop,Mobile Data
139,7/12/2024,19,19-25,2.4,5.9,1.3,9.6,Laptop,WiFi
140,11/19/2024,23,19-25,2.1,1.8,2.4,6.3,Mobile,Mobile Data
141,12/5/2024,35,26-35,2.6,1.9,2.9,7.4,Tablet,WiFi
142,2/20/2024,67,60+,1.9,4.7,3.2,9.8,Mobile,WiFi
143,10/5/2024,16,13-18,2.9,1.9,2.1,6.9,Mobile,Mobile Data
144,9/23/2024,47,46-60,3.1,5.9,2,11,Tablet,Mobile Data
145,5/18/2024,13,13-18,1,2.5,2.7,6.2,Laptop,WiFi
146,10/22/2024,53,46-60,3.2,5.7,2,10.9,Tablet,Mobile Data
147,1/5/2024,22,19-25,3.3,5.2,0.9,9.4,Tablet,WiFi
148,11/18/2024,55,46-60,3.9,4.3,3.4,11.6,Laptop,WiFi
149,1/5/2024,17,13-18,0.9,6.4,2.8,10.1,Tablet,Mobile Data
150,7/17/2024,42,36-45,2.5,3.4,1,6.9,Tablet,Mobile Data
151,10/10/2024,72,60+,2.8,2.4,2.8,8,Mobile,Mobile Data
152,5/11/2024,54,46-60,0.9,3.7,3,7.6,Laptop,Mobile Data
153,10/25/2024,26,26-35,0.6,5.9,0.7,7.2,Laptop,WiFi
154,7/17/2024,22,19-25,3.5,2.6,1.1,7.2,Tablet,Mobile Data
155,3/31/2024,21,19-25,2.8,4.3,1,8.1,Laptop,Mobile Data
156,8/19/2024,68,60+,2,2.3,0.6,4.9,Tablet,Mobile Data
157,10/5/2024,16,13-18,3.4,6.6,2.5,12.5,Mobile,WiFi
158,4/15/2024,43,36-45,3.6,2.8,2.6,9,Laptop,WiFi
159,1/2/2024,19,19-25,1.4,5,1.9,8.3,Mobile,WiFi
160,3/26/2024,29,26-35,2,4.5,2.1,8.6,Laptop,WiFi
161,9/13/2024,53,46-60,2.1,4.5,2.6,9.2,Tablet,Mobile Data
162,6/7/2024,35,26-35,1.7,3.9,1.4,7,Mobile,Mobile Data
163,10/4/2024,23,19-25,4,1.6,1.7,7.3,Mobile,WiFi
164,2/26/2024,15,13-18,3.4,3.7,2.2,9.3,Laptop,Mobile Data
165,12/11/2024,65,60+,1,2.1,2.5,5.6,Tablet,Mobile Data
166,3/6/2024,29,26-35,0.8,6.4,2.5,9.7,Tablet,WiFi
167,3/1/2024,60,46-60,3.5,5.8,1.9,11.2,Mobile,WiFi
168,8/10/2024,35,26-35,0.3,5.9,2.4,8.6,Laptop,WiFi
169,12/19/2024,32,26-35,1,4.8,1.5,7.3,Laptop,Mobile Data
170,4/11/2024,25,19-25,1.8,2.8,1.4,6,Mobile,WiFi
171,8/29/2024,56,46-60,0.3,3.9,1.4,5.6,Laptop,WiFi
172,11/30/2024,47,46-60,0.3,4.7,0.8,5.8,Laptop,Mobile Data
173,7/26/2024,61,60+,2.8,5.6,1.4,9.8,Tablet,WiFi
174,4/21/2024,67,60+,0.7,6.4,1.5,8.6,Tablet,Mobile Data
175,5/1/2024,60,46-60,1.6,6.3,0.7,8.6,Laptop,Mobile Data
176,5/13/2024,32,26-35,2.6,6,0.7,9.3,Mobile,WiFi
177,1/31/2024,13,13-18,0.7,5.7,2.6,9,Mobile,WiFi
178,11/23/2024,29,26-35,3,3.5,1.3,7.8,Laptop,WiFi
179,5/20/2024,17,13-18,2.2,4.8,1.4,8.4,Laptop,WiFi
180,3/11/2024,22,19-25,1.8,4.7,2.1,8.6,Tablet,WiFi
181,12/11/2024,33,26-35,3.1,5.9,1.5,10.5,Tablet,Mobile Data
182,3/27/2024,14,13-18,0.5,4.2,2.7,7.4,Tablet,Mobile Data
183,12/26/2024,43,36-45,3.7,7,3,13.7,Tablet,WiFi
184,11/26/2024,23,19-25,2.7,4.2,1.7,8.6,Laptop,Mobile Data
185,6/2/2024,40,36-45,3.7,6.1,1.7,11.5,Tablet,Mobile Data
186,10/7/2024,43,36-45,0.8,1.4,1.3,3.5,Tablet,Mobile Data
187,12/20/2024,42,36-45,4,2.5,2.9,9.4,Laptop,WiFi
188,4/19/2024,13,13-18,3.2,6.6,2.4,12.2,Mobile,Mobile Data
189,8/11/2024,30,26-35,3.3,1.1,2.8,7.2,Laptop,WiFi
190,6/23/2024,54,46-60,3.3,4.1,2.3,9.7,Tablet,Mobile Data
191,12/16/2024,36,36-45,2.6,4.9,2.4,9.9,Mobile,Mobile Data
192,1/22/2024,36,36-45,2.7,6.2,2.5,11.4,Tablet,Mobile Data
193,7/30/2024,14,13-18,1.3,5.2,2.4,8.9,Tablet,Mobile Data
194,12/24/2024,23,19-25,0.6,6.5,2.7,9.8,Mobile,WiFi
195,5/7/2024,67,60+,1.3,4.3,0.7,6.3,Tablet,WiFi
196,10/31/2024,31,26-35,3.1,4.2,1.8,9.1,Mobile,WiFi
197,2/3/2024,23,19-25,1.8,1.5,0.7,4,Mobile,WiFi
198,6/16/2024,37,36-45,0.9,3.6,0.5,5,Tablet,WiFi
199,2/1/2024,46,46-60,2.1,6.9,2.3,11.3,Tablet,Mobile Data
200,7/6/2024,50,46-60,1.8,4.2,2,8,Laptop,Mobile Data
201,6/19/2024,39,36-45,1.4,3.9,3.4,8.7,Laptop,WiFi
202,4/27/2024,25,19-25,3.4,2.5,3.2,9.1,Mobile,WiFi
203,6/24/2024,72,60+,1.1,2.8,1.1,5,Laptop,Mobile Data
204,8/27/2024,45,36-45,3.3,6.1,2.4,11.8,Laptop,WiFi
205,4/2/2024,69,60+,0.3,3.4,2.8,6.5,Laptop,WiFi
206,4/2/2024,27,26-35,2.8,6.9,3.3,13,Mobile,WiFi
207,11/16/2024,60,46-60,3.1,1.1,2.4,6.6,Mobile,Mobile Data
208,9/16/2024,25,19-25,3.8,2.9,0.7,7.4,Mobile,Mobile Data
209,12/1/2024,18,13-18,3.5,4.1,1.7,9.3,Tablet,Mobile Data
210,7/17/2024,65,60+,2.1,2.6,2,6.7,Tablet,WiFi
211,12/22/2024,31,26-35,0.9,5,1.3,7.2,Tablet,Mobile Data
212,9/21/2024,18,13-18,2.6,3,3.1,8.7,Tablet,WiFi
213,2/21/2024,73,60+,0.7,6.3,0.8,7.8,Tablet,WiFi
214,1/26/2024,60,46-60,3.5,4.1,1.7,9.3,Mobile,WiFi
215,8/16/2024,49,46-60,1.8,4.6,1.9,8.3,Mobile,Mobile Data
216,10/21/2024,13,13-18,0.3,6.4,0.9,7.6,Mobile,WiFi
217,10/22/2024,18,13-18,3.7,3.9,1.7,9.3,Mobile,WiFi
218,9/15/2024,28,26-35,1.7,2.7,3,7.4,Laptop,Mobile Data
219,8/8/2024,35,26-35,0.6,6.6,1.8,9,Mobile,Mobile Data
220,11/28/2024,14,13-18,0.5,4.8,1.1,6.4,Tablet,WiFi
221,1/22/2024,22,19-25,0.7,5.1,1.9,7.7,Mobile,Mobile Data
222,12/21/2024,29,26-35,0.5,5.8,1.6,7.9,Tablet,Mobile Data
223,10/9/2024,62,60+,3.7,3.7,2.8,10.2,Mobile,Mobile Data
224,1/29/2024,64,60+,3,6.1,0.8,9.9,Mobile,Mobile Data
225,9/27/2024,46,46-60,2.8,5.4,1.5,9.7,Tablet,WiFi
226,6/8/2024,25,19-25,1.1,2.5,3.3,6.9,Laptop,Mobile Data
227,2/26/2024,54,46-60,1.2,3.1,2.5,6.8,Mobile,WiFi
228,11/13/2024,22,19-25,2.8,3.1,3.2,9.1,Tablet,WiFi
229,9/7/2024,38,36-45,1.6,3.9,1.1,6.6,Mobile,WiFi
230,6/8/2024,39,36-45,3.1,4.9,2.1,10.1,Tablet,WiFi
231,5/25/2024,27,26-35,3.6,6.6,1.5,11.7,Laptop,Mobile Data
232,3/3/2024,67,60+,1.5,5.3,2.5,9.3,Mobile,WiFi
233,2/19/2024,68,60+,2.3,6.5,2.9,11.7,Tablet,WiFi
234,12/27/2024,31,26-35,3.4,2.8,2.9,9.1,Mobile,WiFi
235,6/9/2024,13,13-18,2.9,4,1.6,8.5,Laptop,WiFi
236,7/24/2024,45,36-45,1.7,4.2,1.6,7.5,Tablet,Mobile Data
237,11/14/2024,18,13-18,1.3,1.7,1.7,4.7,Laptop,Mobile Data
238,7/7/2024,55,46-60,0.8,2.4,0.8,4,Tablet,WiFi
239,5/24/2024,26,26-35,1.4,4.6,0.8,6.8,Laptop,WiFi
240,3/31/2024,17,13-18,1.8,3.5,3.4,8.7,Tablet,WiFi
241,5/19/2024,23,19-25,2.5,5.6,3.5,11.6,Tablet,Mobile Data
242,6/4/2024,23,19-25,0.7,2.4,1.6,4.7,Laptop,Mobile Data
243,1/10/2024,42,36-45,0.4,1.8,0.7,2.9,Laptop,WiFi
244,5/25/2024,35,26-35,3,6.4,1.5,10.9,Tablet,WiFi
245,2/1/2024,27,26-35,2.9,1.6,3,7.5,Tablet,Mobile Data
246,10/8/2024,27,26-35,0.3,3.7,2,6,Tablet,Mobile Data
247,1/13/2024,26,26-35,3.7,4,3.5,11.2,Mobile,Mobile Data
248,5/2/2024,75,60+,2.9,1.8,2.9,7.6,Tablet,Mobile Data
249,5/17/2024,63,60+,2.3,2.8,3.4,8.5,Mobile,Mobile Data
250,5/18/2024,13,13-18,2.4,5.9,1.8,10.1,Laptop,WiFi
251,4/27/2024,34,26-35,1.5,1.6,2.6,5.7,Mobile,WiFi
252,2/28/2024,17,13-18,2.1,7,2.1,11.2,Tablet,Mobile Data
253,9/20/2024,65,60+,1.4,4.7,3.5,9.6,Tablet,WiFi
254,10/23/2024,70,60+,3.9,6.2,0.9,11,Mobile,Mobile Data
255,4/4/2024,32,26-35,3,1.6,2.4,7,Laptop,Mobile Data
256,2/22/2024,68,60+,3.9,2.6,1.4,7.9,Laptop,Mobile Data
257,9/6/2024,19,19-25,3.3,5.8,3.2,12.3,Tablet,Mobile Data
258,10/19/2024,39,36-45,2.2,6,1.8,10,Tablet,WiFi
259,3/12/2024,25,19-25,2.2,2.4,2.7,7.3,Laptop,Mobile Data
260,10/29/2024,58,46-60,0.7,1.6,1,3.3,Mobile,WiFi
261,7/2/2024,32,26-35,2.5,1.1,1,4.6,Tablet,WiFi
262,9/9/2024,63,60+,3.1,6.7,1.6,11.4,Mobile,Mobile Data
263,11/10/2024,38,36-45,2.4,4.9,1.5,8.8,Tablet,Mobile Data
264,5/11/2024,52,46-60,1.1,6.1,1.8,9,Tablet,WiFi
265,8/13/2024,69,60+,4,5.6,1.6,11.2,Laptop,Mobile Data
266,7/11/2024,28,26-35,2,4.5,1.3,7.8,Laptop,Mobile Data
267,6/28/2024,43,36-45,3.7,6,1.4,11.1,Laptop,WiFi
268,5/20/2024,64,60+,0.2,1.6,2.5,4.3,Mobile,Mobile Data
269,4/27/2024,16,13-18,4,3.9,1,8.9,Tablet,Mobile Data
270,9/12/2024,29,26-35,0.9,4.3,2.6,7.8,Laptop,Mobile Data
271,5/21/2024,41,36-45,3.9,2.6,1.8,8.3,Mobile,WiFi
272,12/21/2024,39,36-45,3.8,1.2,1.6,6.6,Mobile,Mobile Data
273,3/5/2024,34,26-35,2.8,4.4,1.7,8.9,Mobile,Mobile Data
274,10/21/2024,49,46-60,2,5.2,2.9,10.1,Tablet,Mobile Data
275,2/11/2024,22,19-25,0.7,5.7,2.5,8.9,Tablet,Mobile Data
276,8/25/2024,27,26-35,0.7,2.4,2.9,6,Mobile,Mobile Data
277,4/3/2024,19,19-25,3.8,3.9,0.7,8.4,Laptop,WiFi
278,2/19/2024,13,13-18,1.3,6.4,3.3,11,Tablet,Mobile Data
279,12/16/2024,26,26-35,3.3,3.9,0.6,7.8,Tablet,Mobile Data
280,9/16/2024,15,13-18,1,4,3.4,8.4,Mobile,WiFi
281,5/5/2024,15,13-18,1.4,5.7,1.8,8.9,Tablet,WiFi
282,3/22/2024,37,36-45,3.8,2.1,2.7,8.6,Tablet,Mobile Data
283,9/26/2024,13,13-18,0.4,1.5,1.7,3.6,Laptop,WiFi
284,1/24/2024,13,13-18,3.4,3.2,1.4,8,Tablet,Mobile Data
285,2/13/2024,26,26-35,0.7,1.1,3.4,5.2,Mobile,Mobile Data
286,8/22/2024,35,26-35,2.6,4.6,3.3,10.5,Tablet,WiFi
287,6/18/2024,22,19-25,3.3,5.7,2.7,11.7,Mobile,Mobile Data
288,7/30/2024,36,36-45,2.3,3.3,0.9,6.5,Laptop,Mobile Data
289,5/20/2024,42,36-45,3,5.4,1.5,9.9,Mobile,Mobile Data
290,6/5/2024,72,60+,1.5,1.5,2,5,Mobile,Mobile Data
291,3/23/2024,74,60+,0.7,3.7,1.5,5.9,Laptop,Mobile Data
292,2/26/2024,23,19-25,0.7,2.6,0.7,4,Laptop,Mobile Data
293,4/8/2024,72,60+,0.7,6.4,1.8,8.9,Laptop,Mobile Data
294,2/3/2024,17,13-18,3.2,4.6,2.3,10.1,Laptop,Mobile Data
295,5/14/2024,73,60+,2.2,6.5,2.4,11.1,Tablet,WiFi
296,9/30/2024,57,46-60,2.6,2.5,2.3,7.4,Laptop,Mobile Data
297,2/16/2024,19,19-25,3.9,2.6,0.6,7.1,Tablet,WiFi
298,5/4/2024,33,26-35,0.5,3,1,4.5,Mobile,WiFi
299,5/21/2024,69,60+,2.9,5.5,0.6,9,Tablet,WiFi
300,7/5/2024,17,13-18,2.1,2.2,3.1,7.4,Tablet,Mobile Data
301,6/14/2024,24,19-25,3.5,2.7,0.6,6.8,Tablet,Mobile Data
302,8/28/2024,17,13-18,1.2,4.6,3,8.8,Laptop,WiFi
303,4/25/2024,58,46-60,2,1.1,3,6.1,Laptop,WiFi
304,5/30/2024,73,60+,1.9,4.4,0.8,7.1,Tablet,Mobile Data
305,10/22/2024,27,26-35,1.7,2.9,1.3,5.9,Tablet,Mobile Data
306,11/24/2024,25,19-25,3,1.6,1.3,5.9,Tablet,WiFi
307,8/17/2024,42,36-45,1.2,3.9,0.9,6,Mobile,Mobile Data
308,6/5/2024,16,13-18,3.5,5,3.4,11.9,Tablet,Mobile Data
309,2/23/2024,18,13-18,0.8,4.4,3.1,8.3,Mobile,Mobile Data
310,7/20/2024,56,46-60,2.8,2.3,1.6,6.7,Laptop,WiFi
311,3/30/2024,51,46-60,0.5,3.3,2.3,6.1,Tablet,WiFi
312,1/5/2024,30,26-35,3.1,4.1,1.9,9.1,Mobile,Mobile Data
313,12/24/2024,48,46-60,3.2,3.3,3.2,9.7,Tablet,Mobile Data
314,8/10/2024,19,19-25,1.2,6.5,2.8,10.5,Mobile,Mobile Data
315,6/19/2024,17,13-18,0.4,2.6,1.9,4.9,Laptop,WiFi
316,11/30/2024,19,19-25,1.5,2.4,3.2,7.1,Mobile,WiFi
317,5/17/2024,23,19-25,1.9,5.6,2.1,9.6,Tablet,WiFi
318,5/25/2024,65,60+,1.8,6.8,3.4,12,Laptop,WiFi
319,10/7/2024,23,19-25,2.1,3.7,2.2,8,Laptop,Mobile Data
320,9/15/2024,64,60+,0.5,3.9,2.7,7.1,Tablet,Mobile Data
321,3/12/2024,47,46-60,3.8,6.1,0.7,10.6,Laptop,Mobile Data
322,11/22/2024,48,46-60,3.9,6.8,0.8,11.5,Tablet,WiFi
323,1/8/2024,58,46-60,2.8,4.4,3.4,10.6,Laptop,Mobile Data
324,2/2/2024,32,26-35,3.9,5.5,1.1,10.5,Laptop,WiFi
325,8/11/2024,23,19-25,4,4.1,2.2,10.3,Laptop,Mobile Data
326,2/11/2024,61,60+,0.8,1.7,0.9,3.4,Laptop,WiFi
327,8/27/2024,21,19-25,3.6,1.6,2.2,7.4,Tablet,WiFi
328,1/26/2024,36,36-45,1,5.8,0.8,7.6,Laptop,WiFi
329,9/10/2024,43,36-45,2.7,4.3,2.4,9.4,Laptop,WiFi
330,7/24/2024,45,36-45,1.9,7,1.3,10.2,Tablet,WiFi
331,7/15/2024,40,36-45,1.1,1,0.5,2.6,Tablet,WiFi
332,10/10/2024,13,13-18,1.2,6.8,3.2,11.2,Laptop,Mobile Data
333,1/29/2024,33,26-35,2.9,2.2,3,8.1,Laptop,WiFi
334,11/4/2024,21,19-25,2.6,2.9,1.6,7.1,Tablet,WiFi
335,12/1/2024,16,13-18,2.9,2.2,0.8,5.9,Tablet,WiFi
336,12/25/2024,27,26-35,2.7,3.7,1.6,8,Mobile,Mobile Data
337,3/30/2024,17,13-18,1.8,6.6,2.2,10.6,Laptop,WiFi
338,1/14/2024,17,13-18,3.5,1.3,2.7,7.5,Mobile,WiFi
